Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C3, C5, C6, C7, C8",0805,8,"4,7uF",
"C10, C12, C19, C20, C21, C4, C9",0805,7,1uF,
"C13, C14, C15, C16, C17, C18",0805,6,100nF,
"D1, D2, D3",D_SOD-123,3,D,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV_model,1,USB_C_Receptacle_USB2.0_14P,
J2,Amphenol_F32R-1A7x1-11024_1x24-1MP_P0.5mm_Horizontal,1,Conn_01x24_Socket,
J3,JST_ZH_B2B-ZR_1x02_P1.50mm_Vertical,1,Conn_01x02_Socket,
J4,JST_ZH_B4B-ZR_1x04_P1.50mm_Vertical,1,Conn_01x04_Pin,
L1,L_7.3x7.3_H4.5,1,10uH1A,
"Q1, Q2, Q3",SOT23,3,SI2312,
"R1, R10, R11, R5, R6, R7, R8, R9",0805,8,10k,
"R2, R4",0805,2,3R,
R3,0805,1,"0,47R",
U1,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias_model,1,TP4056-42-ESOP8,
U3,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1,
U4,SOT-23-5,1,XC6210B332MR,
