Designator,Mid X,Mid Y,Rotation,Layer
C1,176.0,-60.25,270.0,top
C10,164.5,-77.25,0.0,bottom
C11,164.5,-81.25,0.0,bottom
C12,160.775,-81.25,180.0,bottom
C13,156.5,-64.5,270.0,top
C14,171.5,-71.0,90.0,top
C15,169.5,-71.0,90.0,top
C16,175.0,-67.25,180.0,top
C17,175.0,-65.25,180.0,top
C18,157.0,-58.0,90.0,top
C19,157.5,-83.5,180.0,top
C2,178.025,-65.5,180.0,bottom
C20,173.5,-83.5,180.0,top
C21,171.5,-87.5,90.0,top
C3,173.25,-68.25,0.0,bottom
C4,164.5,-73.25,0.0,bottom
C5,164.475,-75.25,0.0,bottom
C6,164.475,-79.25,0.0,bottom
C7,164.5,-66.25,0.0,bottom
C8,164.5,-64.25,0.0,bottom
C9,164.5,-71.25,0.0,bottom
D1,172.75,-66.0,0.0,bottom
D2,170.75,-62.5,270.0,bottom
D3,177.5,-67.75,180.0,bottom
J1,165.0,-87.5,0.0,top
J2,157.0,-70.0,90.0,bottom
J3,176.75,-74.05,0.0,bottom
J4,177.5,-79.5,90.0,top
L1,176.0,-60.25,270.0,bottom
Q1,177.5,-70.75,90.0,bottom
Q2,156.75,-68.75,0.0,top
Q3,156.7,-72.9,0.0,top
R1,164.5,-62.25,0.0,bottom
R10,153.0,-81.5,180.0,bottom
R11,153.0,-81.5,0.0,top
R2,171.0,-74.25,90.0,bottom
R3,169.0,-74.25,90.0,bottom
R4,164.5,-69.25,0.0,bottom
R5,169.0,-68.75,90.0,bottom
R6,158.5,-79.0,180.0,top
R7,158.5,-77.0,180.0,top
R8,155.0,-60.75,270.0,top
R9,162.0,-69.75,90.0,top
U1,164.5,-77.5,180.0,top
U2,171.8,-79.5,270.0,top
U3,165.0,-61.575,0.0,top
U4,175.25,-70.0,180.0,top
